#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
NGC_6093       244.26004  -22.97608  10.34   0.12    3.95    0.08  3040   2285  3.21e+05   8.92e+03    7.43   0.03   1.97   0.08   0.21    1.93     2.82    62.86    5.52    3.23    5.19    3.88    8.90    6.14      9.6   0.23    0.76   -0.45 +- 0.16    11.1    44.6   -0.45  -0.11
RLGC_1         244.28504  -44.59406  28.84   4.01   21.59    3.84     0     32  2.85e+05          0    13.1      0   1.80      0   2.62    8.01    11.57   170.45    2.43    1.37    3.27    2.64    9.88    3.68      6.5  99.90   99.90   -0.85 +- 0.30     4.5    17.0   -0.35  -0.03    
NGC_6101       246.45049  -72.20219  14.45   0.19   10.36    0.15    71     76  1.74e+05   3.11e+04    8.68   0.03   2.50   0.45   5.52    9.59    13.87    88.95    1.49    0.89    2.63    2.26    9.96    5.56     81.2   0.24    0.79   -0.90 +- 0.14     3.3    11.5   -0.24  -0.06    
NGC_6121       245.89674  -26.52575   1.85   0.02    6.45    0.01  2865  10976  9.04e+04   1.12e+03    5.65   0.04   1.65   0.06   0.45    2.50     3.95    53.94    3.99    2.25    4.06    3.05    8.94    6.01      2.3   0.44    0.80   -0.33 +- 0.15     4.7    18.8   -0.39  -0.11
NGC_6139       246.91847  -38.84878  10.04   0.45    3.51    0.28    60    296  3.52e+05   3.43e+04    8.97   0.08   1.88   0.23   0.29    1.85     2.49    58.71    5.21    3.44    5.06    4.03    8.80    6.07     14.7   0.55    0.79   -0.17 +- 0.17    11.7    46.4   -0.38  -0.10    
NGC_6144       246.80777  -26.02350   8.15   0.13    2.50    0.02    30    664  8.46e+04   3.93e+03    9.24   0.04   2.66   0.16   1.00    3.70     4.97    28.82    3.14    1.92    3.55    2.82    9.04    5.73      5.3   0.36    0.76    0.07 +- 0.14     3.9    15.0   -0.34  -0.12    
Ter_3          247.16248  -35.33983   7.64   0.31    2.46    0.02    31    100  3.25e+04   9.53e+03   10.59   0.17   1.41   0.47   2.37    4.70     6.24    21.10    1.84    1.20    2.62    2.23    8.98    5.53      2.6   0.49    0.83   -0.08 +- 0.22     2.1     7.6   -0.27  -0.10    
NGC_6171       248.13275  -13.05378   5.63   0.08    3.74    0.04   403   1872  6.12e+04   1.65e+03    8.28   0.04   1.81   0.08   0.52    2.58     3.72    35.14    3.68    2.15    3.83    2.93    8.75    5.81      3.1   0.23    0.78   -0.20 +- 0.14     3.9    15.7   -0.33  -0.11
ESO_452-SC11   249.85417  -28.39917   7.39   0.20    2.12    0.05    14     48  7.32e+03   3.01e+03   11.76   0.06   2.14   0.89   0.63    2.48     3.26    10.55    2.67    1.40    2.87    2.12    8.15    6.27      0.1  99.90   99.90    0.50 +- 0.30     1.4     5.5   -0.33  -0.10    
NGC_6205       250.42181   36.45986   7.42   0.08    8.64    0.04   426   6668  4.84e+05   6.41e+03    5.81   0.04   2.05   0.08   1.75    3.47     5.21   130.27    3.35    2.61    4.00    3.55    9.47    6.11     26.4   0.30    0.74   -0.94 +- 0.12     8.9    32.4   -0.26  -0.10
